t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,primal_residual,dual_residual
0.033,2.142e-06,2.58491e-09,-0.000293197,6.50834e-07,0.001167,0.000163778,0.00025121,2.09417e-07,-0.0169367,0.000663612,0.119958,0.0173732,0.63842,0.614873,0.631614,0.621467,0,0
0.034,2.4041e-06,2.78885e-09,-0.000310344,1.00742e-06,0.0012273,0.000172531,0.000273164,1.97423e-07,-0.0173568,0.000761372,0.121269,0.0176386,0.639292,0.614789,0.632201,0.621666,0,0
0.035,2.6887e-06,2.97751e-09,-0.000327908,1.41424e-06,0.00128823,0.000181412,0.00029623,1.78709e-07,-0.01777,0.000864332,0.12243,0.0178879,0.640164,0.614716,0.632789,0.621872,0,0
0.036,2.99694e-06,3.14371e-09,-0.000345881,1.87384e-06,0.0013497,0.000190414,0.000320418,1.52337e-07,-0.0181763,0.000972284,0.123443,0.0181214,0.641034,0.614654,0.63338,0.622087,0,0
0.037,3.32992e-06,3.2793e-09,-0.000364257,2.38866e-06,0.00141163,0.000199528,0.000345737,1.17325e-07,-0.0185756,0.00108499,0.12431,0.0183393,0.641902,0.614604,0.63397,0.622309,0,0
0.038,3.68879e-06,3.37514e-09,-0.000383029,2.96104e-06,0.00147397,0.000208748,0.000372195,7.26452e-08,-0.018968,0.0012022,0.125034,0.018542,0.642766,0.614566,0.634561,0.62254,0,0
0.039,4.07469e-06,3.42101e-09,-0.00040219,3.59316e-06,0.00153663,0.000218065,0.000399799,1.72263e-08,-0.0193533,0.00132367,0.125616,0.0187298,0.643626,0.61454,0.635152,0.622777,0,0
0.04,4.48878e-06,3.40563e-09,-0.000421732,4.2871e-06,0.00159955,0.000227473,0.000428554,-5.00427e-08,-0.0197316,0.00144912,0.126059,0.0189029,0.644481,0.614527,0.635742,0.623022,0,0
0.041,4.93219e-06,3.31658e-09,-0.000441649,5.04477e-06,0.00166266,0.000236963,0.000458464,-1.30311e-07,-0.0201028,0.00157824,0.126366,0.0190617,0.645329,0.614525,0.636331,0.623274,0,0
0.042,5.40609e-06,3.14027e-09,-0.000461934,5.86794e-06,0.00172589,0.000246529,0.000489532,-2.24762e-07,-0.0204668,0.00171075,0.12654,0.0192066,0.646171,0.614537,0.636917,0.623533,0,0
