horizon,admm_iters,board,slice_luts_used,slice_luts_avail,slice_luts_util_pct,lut_as_mem_used,lut_as_mem_avail,lut_as_mem_util_pct,bram_tile_used,bram_tile_avail,bram_tile_util_pct,dsps_used,dsps_avail,dsps_util_pct,hls_target_clk_ns,hls_est_clk_ns,hls_uncertainty_ns,hls_est_fmax_mhz,synth_wns_ns,synth_tns_ns,synth_clk_period_ns,synth_clk_freq_mhz,synth_fmax_est_mhz,route_wns_ns,route_tns_ns,route_clk_period_ns,route_clk_freq_mhz,route_fmax_est_mhz,route_power_total_w,route_power_dynamic_w,route_power_static_w,hls_latency_cycles,est_solve_us_cfg_clk,est_solve_us_route_fmax,throughput_cfg_sps,throughput_route_fmax_sps,throughput_per_lut_cfg,throughput_per_dsp_cfg,throughput_per_bram_cfg,throughput_per_lutram_cfg,energy_per_solve_cfg_uj,energy_per_solve_route_fmax_uj,energy_per_iter_cfg_nj
40,10,custom,6584,63400,10.38,266,19000,1.4,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.09,0.0,10.0,100.0,100.90817356205852,0.179,0.0,10.0,100.0,101.82262498727218,0.306,0.204,0.102,131494,1314.94,1291.402574,760.4909729721508,774.3518714714905,0.1155059193457094,10.2769050401642,9.27428015819696,2.8589886201960555,402.37164,395.169187644,40237.164000000004
40,15,custom,6549,63400,10.33,266,19000,1.4,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.09,0.0,10.0,100.0,100.90817356205852,0.171,0.0,10.0,100.0,101.73974972021568,0.305,0.203,0.102,197229,1972.29,1938.5638410000001,507.0248290058764,515.8457920499302,0.07742019071703717,6.851686878457789,6.183229622022883,1.9061083797213398,601.54845,591.261971505,40103.229999999996
40,20,custom,6527,63400,10.29,266,19000,1.4,81,135,60.0,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.076,0.0,10.0,100.0,100.76582023377671,0.329,0.227,0.102,262964,2629.64,2609.654736,380.2801904443194,383.19245308778653,0.058262630679380936,5.138921492490803,4.694817165979251,1.4296247761064638,865.15156,858.576408144,43257.578
40,25,custom,6544,63400,10.32,266,19000,1.4,81,135,60.0,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.241,0.0,10.0,100.0,102.46951531919254,0.295,0.194,0.102,328699,3286.99,3207.773541,304.2297055969139,311.742704782164,0.04648986943718122,4.111212237796134,3.7559222913199246,1.143720697732759,969.6620499999999,946.2931945949999,38786.481999999996
40,30,custom,6530,63400,10.3,266,19000,1.4,81,135,60.0,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.29,0.0,10.0,100.0,102.98661174047373,0.292,0.191,0.102,394434,3944.34,3829.9541400000003,253.52783989209854,261.0997321236854,0.03882509033569656,3.4260518904337642,3.1299733320012164,0.9531121800454833,1151.74728,1118.34660888,38391.576
50,1,custom,6493,63400,10.24,266,19000,1.4,50,135,37.04,70,240,29.17,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,-0.338,-28.819,10.0,100.0,96.73050880247631,0.216,0.116,0.1,16353,163.53,169.057314,6115.085916957133,5915.153721181208,0.9417966913533241,87.35837024224476,122.30171833914267,22.989044800590726,35.32248,36.516379824,35322.479999999996
50,2,custom,6533,63400,10.3,267,19000,1.41,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.089,0.0,10.0,100.0,100.89799212995662,0.079,0.0,10.0,100.0,100.79629069650238,0.323,0.221,0.102,32718,327.18,324.59527799999995,3056.4215416590255,3080.7595420411512,0.46784349328930436,41.30299380620305,37.27343343486616,11.447271691606836,105.67914,104.84427479399999,52839.57
50,5,custom,6578,63400,10.38,267,19000,1.41,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.089,0.0,10.0,100.0,100.89799212995662,-0.216,-20.6,10.0,100.0,97.88566953797965,0.343,0.242,0.102,81759,817.59,835.2499439999999,1223.1069362394353,1197.2464137034412,0.1859390295286463,16.52847211134372,14.915938246822382,4.5809248548293455,280.43337,286.49073079199997,56086.67400000001
50,10,custom,6536,63400,10.31,266,19000,1.4,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.089,0.0,10.0,100.0,100.89799212995662,0.016,0.0,10.0,100.0,100.16025641025641,0.337,0.236,0.102,163494,1634.94,1632.324096,611.6432407305467,612.6234382317174,0.09358066718643615,8.265449199061441,7.459063911348131,2.2994106794381457,550.97478,550.093220352,55097.478
50,15,custom,6573,63400,10.37,267,19000,1.41,82,135,60.74,74,240,30.83,10.0,7.288,2.7,137.211855104281,0.089,0.0,10.0,100.0,100.89799212995662,0.042,0.0,10.0,100.0,100.4217714400482,0.319,0.218,0.102,245229,2452.29,2441.990382,407.7821138609218,409.502022354812,0.06203896453079596,5.510569106228673,4.972952608060022,1.5272738346851005,782.28051,778.994931858,52152.034
50,20,custom,6546,63400,10.32,267,19000,1.41,81,135,60.0,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,-0.08,-4.423,10.0,100.0,99.2063492063492,0.333,0.232,0.102,326964,3269.64,3295.79712,305.84406846013627,303.4167345834685,0.04672228360222063,4.133027952164004,3.775852697038719,1.1454834024724205,1088.7901200000001,1097.50044096,54439.50600000001
50,25,custom,6525,63400,10.29,266,19000,1.4,81,135,60.0,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.105,0.0,10.0,100.0,101.0611419909045,0.334,0.232,0.102,408699,4086.99,4044.0766049999997,244.67884677965938,247.27523676569922,0.03749867383596312,3.3064709024278294,3.0207265034525848,0.919845288645336,1365.05466,1350.72158607,54602.1864
50,30,custom,6542,63400,10.32,267,19000,1.41,81,135,60.0,74,240,30.83,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,0.054,0.0,10.0,100.0,100.54293183189222,0.314,0.212,0.102,490434,4904.34,4877.856564,203.90103459384952,205.00807821621711,0.03116799672788895,2.755419386403372,2.5172967233808583,0.7636742868683503,1539.9627600000001,1531.6469610959998,51332.092
60,1,custom,6541,63400,10.32,268,19000,1.41,50,135,37.04,70,240,29.17,10.0,7.288,2.7,137.211855104281,-0.05,-2.41,10.0,100.0,99.50248756218905,-0.437,-20.98,10.0,100.0,95.81297307655457,0.215,0.115,0.1,19553,195.53,204.074661,5114.304710274638,4900.167395108401,0.7818842241667386,73.06149586106625,102.28609420549276,19.083226530875514,42.03895,43.876052115,42038.95
